Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","78.366368","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","78.63361","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","79.045564","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","78.806842","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","79.041867","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","79.192389","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","79.956088","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","81.151284","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","82.023782","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","82.346597","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","82.523936","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","81.390534","E","Estimated value","base year is 2015"
